asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
219,20020315,20020412,대가원,"서울특별시 강서구 공항대로 209, 4층 401~405호 (마곡동)","서울특별시 강서구 마곡동  774번지 1호  (지상 4층), 401~405호",3150000-101-1995-04961,한식,생등심,355.61,가양제1동,상수도전용,236623902
18,20151118,20151118,캐슬 테라스(Castle Terrace),"서울특별시 강서구 방화대로 94, 메이필드호텔 1층 (외발산동)",서울특별시 강서구 외발산동  426번지  메이필드호텔,3150000-101-2002-00448,경양식,뷔페,508.27,발산제1동,,226609030
32,20131201,20131202,(주)농심 코코이찌방야 롯데몰 김포공항점,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항 스카이파크)",서울특별시 강서구 방화동  886번지 0호  외 6필지 김포공항 스카이파크 (지하 2층),3150000-101-2011-00411,일식,카레,99.54,방화제2동,상수도전용,261165702
8,20161103,20161103,봉래헌(蓬萊軒),"서울특별시 강서구 방화대로 94, 메이필드호텔 1동 1층 (외발산동)",서울특별시 강서구 외발산동  426번지  메이필드호텔,3150000-101-2002-00629,한식,한정식,429,발산제1동,상수도전용,226609020
15,20131201,20131202,로운 NC강서점,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",서울특별시 강서구 등촌동  689번지 0호  외 2필지 강서NC백화점 (지상 9층),3150000-101-2011-00292,한식,뷔페,481.6,등촌제3동,상수도전용,226679779
14,20151118,20151118,(주)엠에프지코리아 매드포갈릭 발산점,"서울특별시 강서구 공항대로 236, 2층 (마곡동)",서울특별시 강서구 마곡동  801번지  2층,3150000-101-2010-00404,경양식,"스테이크, 파스타",287.31,발산제1동,상수도전용,226590889
14,20171124,20171124,공항칼국수,"서울특별시 강서구 공항대로 18-1, 지하 1층 (공항동, 이스카이오피스텔)",서울특별시 강서구 공항동  49번지 1호  외 8필지 이스카이오피스텔 (지하 1층),3150000-101-2017-00474,한식,칼국수,388.27,공항동,상수도전용,226649748
2,20241101,20241204,감성9091,"서울특별시 강서구 공항대로 345, 2층 (등촌동)",서울특별시 강서구 등촌동  664번지 12호  ,3150000-101-2024-00581,감성주점,돼지고기,483,등촌제3동,상수도전용,
1,20241101,20241204,장위동 유성집,"서울특별시 강서구 마곡중앙6로 16, 2층 201호 (마곡동, 가양 1동 마곡지엠지타워)",서울특별시 강서구 마곡동  773번지 2호  마곡지엠지타워 (지상 2층)-201,3150000-101-2017-00587,한식,한우등심,149.08,가양제1동,상수도전용,236619807
19,20151118,20151118,낙원(樂源),"서울특별시 강서구 방화대로 94, 1층 (외발산동, 1동 메이필드호텔)",서울특별시 강서구 외발산동  426번지 1호  메이필드호텔 (지상 1층),3150000-101-1983-06229,한식,갈비,614.69,발산제1동,상수도전용,226609010
25,20131201,20131202,한우리김포점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하2층 (방화동)","서울특별시 강서구 방화동  882번지 1호  김포공항, 롯데몰, 스카이시티",3150000-101-2011-00395,한식,샤브샤브,231.18,방화제2동,상수도전용,02512 3103
11,20191017,20191203,채선당 월남쌈 샤브(마곡점),"서울특별시 강서구 마곡동로 56, 건와빌딩 2층 201호 (마곡동)",서울특별시 강서구 마곡동  797번지 6호  건와빌딩 2층-201,3150000-101-2019-00146,한식,샤브샤브,288.26,가양제1동,상수도전용,226580701
10,20171124,20171124,청록미나리식당 마곡점,"서울특별시 강서구 마곡동로 55, 2층 202호 (마곡동, 가양 1동 마커스빌딩)",서울특별시 강서구 마곡동  774번지 12호  마커스빌딩 (지상 2층)-202,3150000-101-2017-00481,한식,샤브샤브,234.61,가양제1동,상수도전용,269084900
6,20181010,20181210,육시리 마곡본점,"서울특별시 강서구 마곡중앙6로 40, 장흥빌딩 1층 102, 103호 (마곡동)",서울특별시 강서구 마곡동  774번지 8호  장흥빌딩,3150000-101-2017-00739,한식,육류,249.47,가양제1동,,236629797
257,20040601,20040705,주식회사 명가원설농탕,"서울특별시 강서구 강서로 195, 1층 (화곡동, 3동)",서울특별시 강서구 화곡동  1032번지 19호  외 1필지 (지상 1층),3150000-101-2003-00780,한식,설농탕,195,화곡제3동,상수도전용,226930055
9,20191017,20191203,(주)금고깃집 마곡본점,"서울특별시 강서구 마곡동로 61, 에이스프라자 1~2층 109,203~205호 (마곡동)","서울특별시 강서구 마곡동  772번지 8호  에이스프라자 (지상 1~2층) 109호, 203~205호",3150000-101-2019-00391,한식,삼겹살,301.8,가양제1동,상수도전용,236628295
